university_name,Country,World Rank,Teaching,International,Research,Citations,Num of students,Student-Staff Ratio
California Institute of Technology,USA,1,95.6,64,97.6,99.8,2243,6.9
University of Oxford,UK,2,86.5,94.4,98.9,98.8,19919,11.6
Stanford University,USA,3,92.5,76.3,96.2,99.9,15596,7.8
University of Cambridge,UK,4,88.2,91.5,96.7,97,18812,11.8
Massachusetts Institute of Technology,USA,5,89.4,84,88.6,99.7,11074,9
Harvard University,USA,6,83.6,77.2,99,99.8,20152,8.9
Princeton University,USA,7,85.1,78.5,91.9,99.3,7929,8.4
Imperial College London,UK,8,83.3,96,88.5,96.7,15060,11.7
ETH Zurich _ｾ_ Swiss Federal Institute of Technology Zurich,Switzerland,9,77,97.9,95,91.1,18178,14.7
University of Chicago,USA,10,85.7,65,88.9,99.2,14221,6.9
Johns Hopkins University,USA,11,77.6,70,90.4,98.2,15128,3.6
Yale University,USA,12,86.5,64.3,87.8,97.2,11751,4.4
"University of California, Berkeley",USA,13,80.4,61.9,91.1,99.7,36186,16.4
University College London,UK,14,78.1,94.4,91,94.2,26607,10.7
Columbia University,USA,15,85.9,73.5,82.2,98.1,25055,5.9
"University of California, Los Angeles",USA,16,80.8,56.4,88.6,98.5,38206,10.3
University of Pennsylvania,USA,17,82,49.5,86.9,98.6,20376,6.5
Cornell University,USA,18,77.9,63.9,86.1,97.2,21424,10.2
University of Toronto,Canada,19,75.9,77.8,89.3,90.9,66198,19.5
Duke University,USA,20,76,56.5,78,99,15172,4.8
University of Michigan,USA,21,76.8,53.7,85.2,94.4,41786,9
Carnegie Mellon University,USA,22,67.4,57.1,88.8,99.1,11885,13.1
London School of Economics and Political Science,UK,23,69.8,93.6,80.6,94.3,18326,14.5
University of Edinburgh,UK,24,68.6,89.8,77.2,96.3,25774,14.1
Northwestern University,USA,25,69.8,53.9,78.4,96.5,18334,13.8
National University of Singapore,Singapore,26,71.7,96.2,84.5,79.4,31592,15.5
King_ｾ_s College London,UK,27,64.5,93.8,75.8,93.8,21394,11.4
Karolinska Institute,Sweden,28,60.6,73.1,81.1,92.2,7774,11.5
